Escherichia coli	agar	275
Lactobacillus	agar	71
Peptoclostridium difficile	agar	68
Brucella	agar	51
Lactococcus lactis	nisin	48
Salmonella	agar	44
Pseudomonas aeruginosa	agar	43
Lactobacillus plantarum	tannic	38
unidentified plasmid	agar	38
Campylobacter jejuni	agar	38
Streptomyces aureus	agar	36
Roseovarius albus	cellulose	34
Enterobacteriaceae	agar	32
Bacteroidia	cellulose	32
Bifidobacterium	agar	31
Cyanobacteria	nitrogen	31
Archaea	hydrogen	30
Bacteroides	agar	30
Firmicutes	cellulose	28
Escherichia faecalis	agar	26
Wolbachia	riboflavin	25
Escherichia coli	nitrogen	25
Listeria monocytogenes	agar	24
Escherichia coli	cellulose	23
Clostridium perfringens	agar	23
Lactobacillus	lactic	23
Lactobacillus plantarum	tannase	22
Escherichia coli	ethanol	22
Escherichia coli	hydrogen	22
Lactobacillus	hydrogen	21
Desulfovibrio vulgaris	hydrogen	20
Prevotella	cellulose	20
Enterococcus	agar	20
Bacteroides	pectin	19
Enterococcus faecium	agar	19
Porphyromonas gingivalis	agar	19
Clostridium	cellulose	19
Peptoclostridium difficile	nisin	18
Campylobacter	agar	18
Enterobacteriales	agar	17
Actinobacteria	cellulose	17
Ruminiclostridium thermocellum	cellulose	17
Salmonella	hydrogen	17
Bacillus subtilis	cellulose	17
Methanosphaera stadtmanae	methanol	17
plasmids	agar	16
Propionibacterium acnes	propionic	16
Escherichia coli	N-acetylglucosamine	15
Archaea	nitrogen	15
Escherichia coli	dextran	15
Escherichia coli	arabinose	15
Ruminococcus	cellulose	15
Pseudomonas	agar	14
Methanomassiliicoccus luminyensis	methanol	14
Clostridiales	cellulose	13
Helicobacter pylori	agar	13
Streptococcus	agar	13
Salmonella	nitrogen	13
Citrobacter rodentium	agar	13
Clostridium	agar	12
Fibrobacter succinogenes	cellulose	12
Blattabacterium	nitrogen	12
Bacteroides fragilis	agar	12
Desulfovibrio	hydrogen	11
Escherichia coli	Agar	11
Lactobacillus plantarum	agar	11
Streptococcus mutans	agar	11
Bacillus subtilis	agar	11
Bacteroides	cellulose	11
Heliobacterium modesticaldum	nitrogen	11
Lachnoclostridium phytofermentans	cellulose	11
Ruminococcaceae	cellulose	10
Bifidobacterium	guar gum	10
Staphylococcus	agar	10
Bacteroides	propionic	10
Bifidobacterium breve	sorbitol	10
Vibrio cholerae	agar	10
Bacteroides thetaiotaomicron	agar	10
[Clostridium] sordellii	nitrogen	10
Bacteroides	nitrogen	10
Proteobacteria	nitrogen	10
[Clostridium] cellulolyticum	hydrogen	10
Lactobacillus plantarum	hydrogen	10
Lactobacillus plantarum	pectin	10
Lactobacillus reuteri	agar	10
Campylobacter coli	propionic	10
Bifidobacterium breve	agar	10
Peptoclostridium difficile	glycine	10
Bifidobacterium	lactic	10
Bacillus	agar	9
Lactobacillus	Agar	9
Microbacterium barkeri	hydrogen	9
Lactobacillus johnsonii	agar	9
Fontimonas thermophila	agar	9
Actinobacteria	agar	9
Peptoclostridium difficile	nitrogen	9
Firmicutes	agar	9
Escherichia coli	glycine	9
Campylobacter jejuni	propionic	9
Akkermansia muciniphila	nitrogen	9
Lactobacillus ruminis	agar	9
Aeromonas hydrophila	agar	9
Vibrio	agar	9
Bifidobacterium	pectin	9
Enterococcus faecium	nisin	9
Streptomyces	cellulose	9
Staphylococcus epidermidis	agar	9
Archaea	methanol	9
Lachnoclostridium phytofermentans	ethanol	9
Clostridium	ethanol	8
Lactobacillus gasseri	agar	8
Firmicutes	nitrogen	8
Clostridium	nitrogen	8
Lactococcus lactis	agar	8
Lactobacillus plantarum	nisin	8
Brucella	Agar	8
Firmicutes	ethanol	8
Desulfovibrio vulgaris	ethanol	8
Enterobacteriaceae	Agar	8
Campylobacter jejuni	hydrogen	8
Staphylococcus aureus	agar	8
Bacteroides	Agar	8
Geobacter metallireducens	ethanol	8
Klebsiella	pullulanase	8
Klebsiella	cellulose	8
Roseovarius albus	ethanol	8
Prevotella	pectin	8
Clostridia	propionic	7
Firmicutes	hydrogen	7
Lactobacillus rhamnosus	agar	7
Methanosarcinales	methanol	7
Lactobacillus acidophilus	dextran	7
Lactobacillus plantarum	lactic	7
Pseudomonas aeruginosa	hydrogen	7
Rhizobiales	nitrogen	7
Salmonella enterica	agar	7
Aeromonas	agar	7
Listeria	agar	7
Bacteroidia	pectin	7
Rhodocyclales	nitrogen	7
Klebsiella oxytoca	cellulose	7
Prevotella	agar	7
Lactobacillus iners	agar	7
Methanosphaera stadtmanae	hydrogen	7
Gardnerella vaginalis	agar	7
Capnocytophaga canimorsus	agar	7
Lactococcus lactis	Nisin	7
Peptoclostridium difficile	ethanol	7
Bacteroides	guar gum	7
Escherichia coli	propionic	6
Pantoea	nitrogen	6
Klebsiella	nitrogen	6
Citrobacter rodentium	dextran	6
Asaia	agar	6
unidentified plasmid	arabinose	6
Salmonella	cellulose	6
Mycoplasma pneumoniae	agar	6
Enterobacter	nitrogen	6
Firmicutes	pectin	6
Enterococcus faecalis	agar	6
Microcystis smithii	hydrogen	6
Listeria monocytogenes	nisin	6
Marinococcus luteus	agar	6
Bacteroides	xylanase	6
Lactobacillus plantarum	nitrogen	6
Salmonella	Agar	6
Enterobacteriales	nitrogen	6
[Clostridium] cellulolyticum	ethanol	6
Clostridia	cellulose	6
Rhizobium	nitrogen	6
Lactobacillus reuteri	dextran	6
Methanomassiliicoccus luminyensis	hydrogen	6
Ruminococcus flavefaciens	cellulose	6
Methanobrevibacter smithii	hydrogen	6
Streptococcus salivarius	agar	6
Clostridium	hydrogen	6
Gardnerella vaginalis	hydrogen	6
Lactobacillus	lipase	6
Lachnospiraceae	cellulose	6
Enterobacteriaceae	nitrogen	6
Lactobacillus fermentum	agar	6
[Clostridium] cellulolyticum	cellulose	6
Clostridia	agar	6
Peptoclostridium difficile	Agar	6
Methanobacteriales	methanol	6
Geobacter sulfurreducens	ethanol	6
Bacillus	cellulose	6
Lactobacillus crispatus	hydrogen	6
Bifidobacterium longum	agar	6
Methanosarcina	hydrogen	6
Bacteroides caccae	biotin	6
Ruminiclostridium thermocellum	ethanol	6
Bacteroides thetaiotaomicron	pectin	6
Bifidobacterium longum	biotin	6
Fibrobacter	cellulose	6
Faecalibacterium prausnitzii	pectin	6
Escherichia	ethanol	5
Lactobacillus	Lactic	5
Peptostreptococcaceae	cellulose	5
Escherichia coli	carbon dioxide	5
Clostridium kluyveri	ethanol	5
Escherichia coli	peroxidase	5
Gammaproteobacteria	cellulose	5
Pseudomonas tolaasii	agar	5
Flavobacterium columnare	agar	5
Asaia	mannitol	5
Fibrobacteria	cellulose	5
Lactobacillus paracasei	pectin	5
Proteobacteria	ethanol	5
Streptococcus gordonii	agar	5
Clostridiaceae	cellulose	5
Pediococcus acidilactici	agar	5
Pediococcus acidilactici	nisin	5
Propionibacterium acnes	ethanol	5
Salmonella	pectin	5
Bacteroidia	biotin	5
Methanococcus maripaludis	hydrogen	5
Bacteroidia	ethanol	5
Lactobacillus acidophilus	agar	5
Escherichia coli	sucralose	5
Streptomyces aureus	ethanol	5
Lactobacillus johnsonii	nisin	5
Staphylococcus aureus	hydrogen	5
Acetobacter	Riboflavin	5
Propionibacterium	propionic	5
Frankia	nitrogen	5
Leuconostoc mesenteroides	pectin	5
Streptococcus	lactic	5
Leptotrichia hongkongensis	nitrogen	5
Staphylococcus aureus	nisin	5
Streptococcus uberis	nisin	5
Lactococcus lactis	dextran	5
Stenotrophomonas maltophilia	agar	5
Lactobacillus acidophilus	lactic	5
Methanosphaera	hydrogen	5
Acetobacter	agar	5
Treponema	cellulose	5
Gilliamella apicola	pectin	5
Vibrio cholerae	chlorophyll	5
Propionibacterium acnes	lipase	5
Bacteroides	arabinose	5
Lactobacillus	xylanase	5
Escherichia coli	xylanase	5
Bacteroides ovatus	inulinase	5
Enterobacteriales	Agar	5
Archaea	carbon dioxide	5
Ruminococcaceae	hydrogen	5
Bacteroides fragilis	inulinase	5
Wolbachia	biotin	5
Cellulomonas	cellulose	5
Bifidobacterium bifidum	lipase	5
Acinetobacter	lipase	5
Bacteroides fragilis	propionic	5
Haemophilus influenzae	agar	5
Enterobacteriaceae	ethanol	5
Micrococcus luteus	agar	5
Lactobacillus plantarum	biotin	5
Lactobacillus salivarius	agar	5
Escherichia coli	biotin	5
Escherichia coli	lipase	5
Lactobacillus crispatus	agar	5
Bdellovibrio bacteriovorus	agar	5
Campylobacter	Agar	5
Bacillus cereus	agar	5
Salmonella enterica	cellulose	5
Bifidobacterium	acetic	4
Klebsiella pneumoniae	agar	4
Pseudomonas	nitrogen	4
Edwardsiella ictaluri	agar	4
Salmonella	trypsin	4
Actinobacteria	nitrogen	4
Bacteroides	sucralose	4
Vibrio midae	agar	4
Helicobacter pylori	hydrogen	4
Actinobacteria	ethanol	4
Lactobacillus acidophilus NCFM	lactitol	4
Bacillus infantis	lactic	4
Propionibacterium freudenreichii	nitrogen	4
Nitrospira	nitrogen	4
Methanosphaera	methanol	4
Faecalibacterium prausnitzii	riboflavin	4
Enterococcus	lactic	4
Listeria monocytogenes	Nisin	4
Alicyclobacillus pomorum	Mannitol	4
Escherichia coli	lactic	4
Lactobacillus plantarum	riboflavin	4
Bacillus	cellulase	4
Escherichia coli	pectin	4
Salmonella	mannitol	4
Campylobacter	hydrogen	4
Lactobacillus helveticus	hydrogen	4
Escherichia coli	folic	4
Bacteroides thetaiotaomicron	propionic	4
Methanomassiliicoccus	methanol	4
Pseudomonas aeruginosa	ethyl acetate	4
Clostridium acetobutylicum	ethanol	4
Streptococcus sobrinus	agar	4
Bifidobacterium breve	ethanol	4
Peptoclostridium difficile	mannitol	4
Pseudomonas	cellulose	4
Firmicutes	carbon dioxide	4
Bifidobacterium adolescentis	agar	4
Helicobacter hepaticus	agar	4
Firmicutes	riboflavin	4
Komagataeibacter xylinus	pectin	4
Pseudomonas	chitosan	4
Klebsiella	cellulase	4
Thermotogales	cellulose	4
Lactobacillus salivarius	lactic	4
Lactobacillus casei	agar	4
Clostridium	dextran	4
Lactobacillus acidophilus	hydrogen	4
Streptomyces aureus	lipase	4
Lactobacillus plantarum	mannitol	4
Lactobacillus brevis	xylanase	4
Ruminococcus albus 7 = DSM 20455	cellulose	4
Lactobacillus reuteri	lactic	4
Lactobacillus acidophilus	lactitol	4
Enterococcus	Agar	4
Yersinia pestis	nitrogen	4
Bacteroides thetaiotaomicron	N-acetylglucosamine	4
Lachnospiraceae	hydrogen	4
Propionibacterium acnes	agar	4
Serratia marcescens	agar	4
Campylobacter jejuni	nitrogen	4
Lactobacillus	pectin	4
Bifidobacterium	Agar	4
Methanobrevibacter	hydrogen	4
Lactobacillus paracasei	agar	4
Streptococcus mitis	pullulanase	4
Escherichia coli	mannitol	4
Bacteroides	Mannitol	4
Streptococcus mutans	xylitol	4
Escherichia coli	fumaric	4
Paenibacillus polymyxa	nitrogen	4
Bradyrhizobium	nitrogen	3
Peptoclostridium difficile	Nisin	3
Firmicutes	thiamin	3
Xanthomonas	N-acetylglucosamine	3
Actinomyces	cellulose	3
Escherichia coli	gold	3
Bacillus subtilis	ethanol	3
Listeria	Nisin	3
Methanosarcina	methanol	3
Pseudomonas aeruginosa	acetic	3
Bacteroidales	nitrogen	3
Bacteroides	dextran	3
Lactobacillus mucosae	agar	3
Archaea	cellulose	3
Citrobacter	nitrogen	3
Spirochaetales	cellulose	3
Salmonella enterica	nitrogen	3
Cellulomonas fimi	xylanase	3
Erwinia sp.	pectin	3
Leuconostoc	dextran	3
Escherichia coli	riboflavin	3
Cronobacter sakazakii	agar	3
Bifidobacterium	ethanol	3
Lactobacillus	Mannitol	3
Mycoplasma pneumoniae	peroxidase	3
Prevotella	hydrogen	3
Archaea	Hydrogen	3
Clostridium butyricum	hydrogen	3
Vibrio cholerae	nitrogen	3
Lactobacillus sakei	dextran	3
Yersinia pseudotuberculosis	nitrogen	3
Firmicutes	Agar	3
Acrocarpospora corrugata	nitrogen	3
Proteobacteria	cellulose	3
Streptomyces aureus	Nisin	3
Streptococcus salivarius	lactic	3
Listeria monocytogenes	ethanol	3
Propionibacterium freudenreichii	propionic	3
Methanomassiliicoccales	methanol	3
Prevotella intermedia	agar	3
Methanimicrococcus blatticola	methanol	3
Bacillus subtilis	nitrogen	3
Actinobacteria	biotin	3
Lactobacillus fermentum	ethanol	3
Vibrio	nitrogen	3
Weissella cibaria	hydrogen	3
Pseudomonas putida	nitrogen	3
Lactobacillus plantarum	ethanol	3
Prevotellaceae	hydrogen	3
Bacteroidia	xylanase	3
Lactobacillus plantarum	xylanase	3
Bacteroidia	propionic	3
Lactobacillus reuteri	hydrogen	3
Spirochaetia	cellulose	3
Salmonella enterica	ethanol	3
Lactobacillus	guar gum	3
Lactobacillus hilgardii	tannic	3
Enterobacteriaceae	lactic	3
Streptococcus oralis	agar	3
Bacteroides ovatus	cellulose	3
Bacteroides	acetic	3
Pseudomonas aeruginosa	Agar	3
Lactobacillus johnsonii	hydrogen	3
Fusobacterium nucleatum	hydrogen	3
Streptococcus parasanguinis	agar	3
unidentified plasmid	nisin	3
