tuberculosis	Mycobacterium tuberculosis	685
diarrhea	Peptoclostridium difficile	330
cancer	Helicobacter pylori	276
diarrhea	Escherichia coli	253
obesity	Firmicutes	232
gastritis	Helicobacter pylori	232
colitis	Peptoclostridium difficile	231
cystic fibrosis	Pseudomonas aeruginosa	227
obesity	Bacteroidia	214
irritable bowel syndrome	Escherichia coli	193
cholera	Vibrio cholerae	187
colitis	Escherichia coli	180
pneumonia	Klebsiella pneumoniae	148
irritable bowel syndrome	Faecalibacterium prausnitzii	116
irritable bowel syndrome	Firmicutes	114
periodontitis	Porphyromonas gingivalis	99
colitis	Faecalibacterium prausnitzii	94
irritable bowel syndrome	Campylobacter concisus	94
colitis	Citrobacter rodentium	86
irritable bowel syndrome	Bacteroidia	81
irritable bowel syndrome	Proteobacteria	80
irritable bowel syndrome	Peptoclostridium difficile	79
pneumonia	Pseudomonas aeruginosa	75
colitis	Helicobacter hepaticus	74
Klebsiella pneumonia	Klebsiella pneumoniae	73
typhoid fever	Salmonella	67
cancer	Escherichia coli	67
pneumonia	Streptococcus	66
diarrhea	Salmonella	65
diarrhea	Lactobacillus	62
colitis	Salmonella	62
cancer	Fusobacterium	62
meningitis	Escherichia coli	62
pneumonia	Escherichia coli	61
pertussis	Bordetella pertussis	60
colitis	Bacteroides fragilis	60
diarrhea	Clostridium	58
syndrome	Escherichia coli	58
atrophic gastritis	Helicobacter pylori	57
plague	Yersinia pestis	57
gastroenteritis	Salmonella	56
diarrhea	Campylobacter jejuni	55
adenocarcinoma	Helicobacter pylori	55
listeriosis	Listeria	52
periodontal disease	Porphyromonas gingivalis	52
asthma	Helicobacter pylori	50
gastroenteritis	Campylobacter jejuni	49
dengue shock syndrome	Escherichia coli	48
campylobacteriosis	Campylobacter jejuni	47
obesity	Lactobacillus	47
colitis	Lactococcus lactis	47
obesity	Lactobacillus reuteri	45
diarrhea	Lactobacillus reuteri	44
lymphoma	Helicobacter pylori	43
colitis	Clostridium	43
obesity	Bifidobacterium	43
influenza	Haemophilus	43
tuberculosis	Helicobacter pylori	42
chronic obstructive pulmonary disease	Haemophilus influenzae	42
colitis	Lactobacillus	41
cholera	Escherichia coli	41
diarrhea	Campylobacter	40
adenoma	Fusobacterium	40
peritonitis	Citrobacter	40
colitis	Bacteroidia	39
cystic fibrosis	Pseudomonas	39
paratuberculosis	Mycobacterium avium	38
diarrhea	Helicobacter pylori	38
colitis	Enterobacteriaceae	38
diarrhea	Lactobacillus acidophilus	37
colitis	Bacteroides vulgatus	37
diarrhea	Lactobacillus rhamnosus	37
irritable bowel syndrome	Helicobacter pylori	36
colitis	Campylobacter jejuni	36
colitis	Firmicutes	36
irritable bowel syndrome	Bacteroides	35
tuberculosis	Escherichia coli	35
dengue shock syndrome	Lactococcus lactis	35
obesity	Bacteroides	34
gastric adenocarcinoma	Helicobacter pylori	34
hemolytic-uremic syndrome	Escherichia coli	34
periodontitis	Tannerella forsythia	34
dyspepsia	Helicobacter pylori	34
peptic ulcer disease	Helicobacter pylori	33
dermatitis	Lactobacillus	33
periodontitis	Treponema denticola	33
diarrhea	Shigella	33
dermatitis	Lactobacillus rhamnosus	33
ileitis	Escherichia coli	32
irritable bowel syndrome	Clostridium	32
diarrhea	Clostridium perfringens	32
cystic fibrosis	Stenotrophomonas maltophilia	31
obesity	Akkermansia muciniphila	31
tuberculosis	Listeria monocytogenes	31
pneumonia	Streptomyces aureus	31
Klebsiella pneumonia	Escherichia coli	30
acute cystitis	Escherichia coli	30
syndrome	Helicobacter pylori	30
colitis	Bacillus infantis	30
acne	Propionibacterium acnes	30
irritable bowel syndrome	Enterobacteriaceae	30
gastroenteritis	Escherichia coli	29
periodontitis	Aggregatibacter actinomycetemcomitans	29
pneumonia	Staphylococcus aureus	29
irritable bowel syndrome	Lactobacillus	29
inflammatory bowel disease	Peptoclostridium difficile	28
cystic fibrosis	Streptomyces aureus	28
cystic fibrosis	Streptococcus	28
irritable bowel syndrome	Bacteroides fragilis	28
group B streptococcal pneumonia	Campylobacter jejuni	27
diarrhea	Vibrio cholerae	27
inflammatory bowel disease	Escherichia coli	27
irritable bowel syndrome	Actinobacteria	26
irritable bowel syndrome	Bifidobacterium	26
tuberculosis	Salmonella	26
colitis	Bifidobacterium	25
carcinoma	Helicobacter pylori	25
colitis	Helicobacter pylori	25
ulcerative colitis	Escherichia coli	25
chronic obstructive pulmonary disease	Pseudomonas aeruginosa	25
colitis	Lactobacillus acidophilus	24
colitis	Bilophila wadsworthia	24
colitis	Bacteroides	24
irritable bowel syndrome	Bacteroidales	24
irritable bowel syndrome	Campylobacter	24
colitis	Helicobacter	24
cystitis	Escherichia coli	24
chronic obstructive pulmonary disease	Proteobacteria	24
gastroenteritis	Campylobacter	24
acute hemorrhagic leukoencephalitis	Escherichia coli	24
typhoid fever	Salmonella enterica subsp. enterica serovar Typhi	24
group B streptococcal pneumonia	Streptococcus	24
colitis	Lactobacillus plantarum	23
cancer	Bacteroides	23
cancer	Pseudomonas aeruginosa	23
bacterial vaginosis	Lactobacillus	23
pyelonephritis	Escherichia coli	23
pneumonia	Mycoplasma pneumoniae	23
irritable bowel syndrome	[Clostridium] leptum	23
atopic dermatitis	Lactobacillus	23
dermatitis	Bifidobacterium	23
pancreatic cancer	Fusobacterium	22
malaria	Wolbachia	22
megacolon	Peptoclostridium difficile	22
influenza	Escherichia coli	22
listeriosis	Listeria monocytogenes	22
cancer	Peptoclostridium difficile	22
obesity	Helicobacter pylori	22
colitis	Trichodesmium spiralis	22
colorectal cancer	Fusobacterium	22
asthma	Moraxella catarrhalis	22
chronic fatigue syndrome	Salmonella	22
gastroenteritis	Salmonella enterica	22
toxic megacolon	Peptoclostridium difficile	21
colitis	Bifidobacterium longum	21
hypersensitivity reaction type I disease	Bifidobacterium	21
colon cancer	Escherichia coli	21
influenza	Streptomyces aureus	21
syndrome	Lactobacillus	21
typhoid fever	Salmonella enterica	21
paratuberculosis	Mycobacterium avium subsp. paratuberculosis	21
diarrhea	Enterococcus faecium	21
colitis	Proteobacteria	21
chronic obstructive pulmonary disease	Haemophilus	21
diarrhea	Campylobacter concisus	20
chronic fatigue syndrome	Bifidobacterium breve	20
syndrome	Peptoclostridium difficile	20
hypersensitivity reaction type I disease	Lactobacillus	20
chronic fatigue syndrome	Bacillus infantis	20
