dextran	dengue shock syndrome	438
dextran	colitis	350
Dextran	dengue shock syndrome	53
lactic	lactic acidosis	46
dextran	irritable bowel syndrome	44
propionic	propionic acidemia	28
Dextran	colitis	27
ethanol	colitis	23
hydrogen	cancer	21
curcumin	cancer	17
dextran	ulcerative colitis	17
curcumin	cholera	16
gold	cancer	15
lycopene	cancer	15
lipase	obesity	14
curcumin	irritable bowel syndrome	13
propionic	irritable bowel syndrome	13
agar	congenital bile acid synthesis defect	12
dextran	cancer	12
acetic	colitis	11
guar gum	metabolic syndrome X	11
hydrogen	colorectal cancer	11
guar gum	syndrome	11
nitrogen	irritable bowel syndrome	11
hydrogen	diarrhea	10
hydrogen	irritable bowel syndrome	10
gold	irritable bowel syndrome	9
hydrogen	syndrome	9
dextran	inflammatory bowel disease	9
ethanol	adrenoleukodystrophy	9
hydrogen	lactose intolerance	8
ozone	asthma	8
dextran	ileitis	8
cellulose	dengue shock syndrome	8
xylitol	dental caries	8
Dextran	irritable bowel syndrome	8
hydrogen	colitis	8
ethanol	liver disease	8
nitrogen	cancer	8
nitrogen	aortic valve stenosis	8
pepsin	idiopathic interstitial pneumonia	8
lutein	macular degeneration	8
agar	chronic fatigue syndrome	8
silver	breast cancer	7
dextran	colorectal cancer	7
folic	irritable bowel syndrome	7
methanol	renal cell carcinoma	7
silver	cancer	7
ethanol	cancer	7
curcumin	atherosclerosis	7
cellulose	colitis	7
gold	colorectal cancer	7
propionic	autistic disorder	7
lipase	pancreatitis	7
acetic	irritable bowel syndrome	7
hydrogen	colon cancer	6
lycopene	prostate cancer	6
lutein	syndrome	6
lutein	metabolic syndrome X	6
curcumin	colitis	6
hydrogen	constipation	6
peroxidase	colitis	6
chitosan	cancer	6
folic	anemia	6
pectin	progressive myoclonus epilepsy	6
lycopene	obesity	6
lipase	cancer	6
carmine	adenoma	6
Curcumin	irritable bowel syndrome	5
lactic	diarrhea	5
chitosan	obesity	5
folic	cerebrovascular disease	5
castor oil	diarrhea	5
glycine	Leber congenital amaurosis	5
nitrogen	syndrome	5
glycine	colitis	5
lycopene	liver cancer	5
nitrogen	dysbaric osteonecrosis	5
curcumin	colon cancer	5
nitrogen	diabetes mellitus	5
ethanol	pancreatitis	5
propionic	dengue shock syndrome	5
