class,id,name,rank
scientific name,830.0,butyrivibrios,genus
scientific name,872.0,desulfovibrios,genus
synonym,872.0,sporovibrios,genus
scientific name,83770.0,succinivibrios,genus
synonym,286.0,loefflerellae,genus
synonym,544.0,levineae,genus
synonym,547.0,cloacae,genus
misspelling,561.0,escherchiae,genus
scientific name,561.0,escherichiae,genus
scientific name,579.0,kluyverae,genus
scientific name,620.0,shigellae,genus
synonym,702.0,fergusoniae,genus
synonym,816.0,ristellae,genus
scientific name,838.0,prevotellae,genus
scientific name,841.0,roseburiae,genus
equivalent name,841.0,roseburyae,genus
equivalent name,841.0,roseburyellae,genus
scientific name,906.0,megasphaerae,genus
scientific name,1266.0,sarcinae,genus
synonym,1678.0,tissieriae,genus
scientific name,2316.0,methanosphaerae,genus
scientific name,29465.0,veillonellae,genus
scientific name,40544.0,sutterellae,genus
scientific name,52225.0,mitsuokellae,genus
scientific name,61170.0,holdemaniae,genus
scientific name,84108.0,slackiae,genus
scientific name,84111.0,eggerthellae,genus
scientific name,102106.0,collinsellae,genus
scientific name,133925.0,olsenellae,genus
scientific name,160674.0,raoultellae,genus
scientific name,189330.0,doreae,genus
scientific name,195950.0,tannerellae,genus
scientific name,239934.0,akkermansiae,genus
synonym,248744.0,bryantellae,genus
scientific name,248744.0,marvinbryantiae,genus
misspelling,283168.0,wernerellae,genus
misspelling,397864.0,barnesellae,genus
scientific name,397864.0,barnesiellae,genus
scientific name,447020.0,adlercreutziae,genus
scientific name,572511.0,blautiae,genus
scientific name,577309.0,paraprevotellae,genus
scientific name,577310.0,parasutterellae,genus
scientific name,588605.0,robinsoniellae,genus
scientific name,990721.0,christensenellae,genus
scientific name,1279388.0,kandleriae,genus
synonym,1470353.0,soleaferreae,genus
synonym,1473205.0,senegalemassiliae,genus
scientific name,1473205.0,senegalimassiliae,genus
scientific name,1501226.0,romboutsiae,genus
scientific name,1506577.0,tyzzerellae,genus
scientific name,1573534.0,faecalitaleae,genus
scientific name,1573535.0,holdemanellae,genus
scientific name,1649459.0,hungatellae,genus
synonym,816.0,capsulares,genus
scientific name,1485.0,clostridia,genus
synonym,1678.0,bifidibacteria,genus
scientific name,1678.0,bifidobacteria,genus
scientific name,1730.0,eubacteria,genus
scientific name,33024.0,phascolarctobacteria,genus
equivalent name,33882.0,aureibacteria,genus
synonym,33882.0,aureobacteria,genus
scientific name,33882.0,microbacteria,genus
scientific name,68287.0,mesorhizobia,genus
scientific name,86331.0,mogibacteria,genus
scientific name,123375.0,solobacteria,genus
misspelling,135858.0,catenabacteria,genus
scientific name,135858.0,catenibacteria,genus
scientific name,216851.0,faecalibacteria,genus
scientific name,265975.0,oribacteria,genus
scientific name,292632.0,subdoligranula,genus
scientific name,1481960.0,peptoclostridia,genus
scientific name,1505663.0,erysipelatoclostridia,genus
scientific name,1506553.0,lachnoclostridia,genus
scientific name,1508657.0,ruminiclostridia,genus
scientific name,724.0,haemophili,genus
scientific name,904.0,acidaminococci,genus
scientific name,1263.0,ruminococci,genus
synonym,1279.0,aurococci,genus
scientific name,1279.0,staphylococci,genus
scientific name,1301.0,streptococci,genus
scientific name,1350.0,enterococci,genus
scientific name,1357.0,lactococci,genus
scientific name,1578.0,lactobacilli,genus
synonym,1578.0,paralactobacilli,genus
scientific name,2740.0,peptococci,genus
scientific name,33042.0,coprococci,genus
scientific name,55080.0,brevibacilli,genus
scientific name,118966.0,anaerorhabdi,genus
synonym,1470349.0,stoquefichi,genus
scientific name,544.0,citrobacters,genus
scientific name,547.0,enterobacters,genus
synonym,838.0,xylanibacters,genus
scientific name,2172.0,methanobrevibacters,genus
scientific name,39948.0,dialisters,genus
scientific name,100175.0,papillibacters,genus
scientific name,191303.0,turicibacters,genus
scientific name,204475.0,gemmigers,genus
scientific name,270497.0,catabacters,genus
scientific name,283168.0,odoribacters,genus
scientific name,413496.0,cronobacters,genus
scientific name,459786.0,oscillibacters,genus
scientific name,644652.0,gordonibacters,genus
scientific name,1407607.0,fusicatenibacters,genus
scientific name,1505652.0,terrisporobacters,genus
scientific name,1505657.0,intestinibacters,genus
synonym,1766253.0,'agathobacters',genus
scientific name,1766253.0,agathobacters,genus
includes,286.0,chryseomonads,genus
includes,286.0,flavimonads,genus
synonym,286.0,liquidomonads,genus
misspelling,286.0,peudomonads,genus
scientific name,286.0,pseudomonads,genus
synonym,702.0,pleisomonads,genus
scientific name,702.0,plesiomonads,genus
includes,872.0,desulfomonads,genus
scientific name,158846.0,megamonads,genus
scientific name,574697.0,butyricimonads,genus
scientific name,1392389.0,intestinimonads,genus
scientific name,381.0,m. loti,species
synonym,381.0,r. loti,species
synonym,562.0,b. coli,species
synonym,562.0,e. coli,species
synonym,575.0,k. planticola,species
synonym,575.0,k. trevisanii,species
scientific name,575.0,r. planticola,species
synonym,577.0,k. terrigena,species
scientific name,577.0,r. terrigena,species
synonym,622.0,b. dysenteriae,species
synonym,622.0,b. dysentericus,species
synonym,622.0,b. shigae,species
synonym,622.0,e. dysenteriae,species
scientific name,622.0,s. dysenteriae,species
synonym,622.0,s. shigae,species
synonym,703.0,a. shigelloides,species
synonym,703.0,f. shigelloides,species
synonym,703.0,p. shigelloides,species
misspelling,729.0,h. parainfluenza,species
