class,id,name,rank
authority,286,"Chlorobacterium Guillebeau 1890, nom. rejic. Opin. 6 (not ""Chlorobacterium"" Lauterborn 1916)",genus
authority,286,Liquidomonas Orla-Jensen 1909,genus
authority,286,Loefflerella Holden 1935,genus
includes,286,Chryseomonas,genus
authority,286,Chryseomonas Holmes et al. 1986,genus
includes,286,Flavimonas,genus
synonym,286,Liquidomonas,genus
synonym,286,Loefflerella,genus
misspelling,286,Peudomonas,genus
scientific name,286,Pseudomonas,genus
authority,286,Pseudomonas Migula 1894 emend. Yang et al. 2013,genus
synonym,286,RNA similarity group I,genus
includes,356,Hyphomicrobiales,order
authority,356,Hyphomicrobiales Douglas 1957,order
synonym,356,Rhizobiaceae group,order
scientific name,356,Rhizobiales,order
authority,356,Rhizobiales Kuykendall 2006,order
in-part,356,alpha-2 proteobacteria,order
genbank common name,356,rhizobacteria,order
scientific name,381,Mesorhizobium loti,species
authority,381,Mesorhizobium loti (Jarvis et al. 1982) Jarvis et al. 1997,species
authority,381,Mesorhizobium loti (Jarvis et al. 1997) emend. Hameed et al. 2015,species
synonym,381,Rhizobium loti,species
authority,381,Rhizobium loti Jarvis et al. 1982,species
synonym,543,Enterobacteraceae,family
synonym,543,"Enterobacteraceae (ex Lapage 1979) Lapage 1982, fam. nov., nom. rev.",family
scientific name,543,Enterobacteriaceae,family
synonym,543,"Enterobacteriaceae (ex Rahn 1937) Ewing et al. 1980, fam. nov., nom. rev.",family
synonym,543,Enterobacteriaceae Rahn 1937,family
in-part,543,gamma-3 proteobacteria,family
scientific name,544,Citrobacter,genus
authority,544,Citrobacter Werkman and Gillen 1932,genus
synonym,544,Levinea,genus
authority,544,Levinea Young et al. 1971,genus
authority,547,Aerobacter Hormaeche and Edwards 1958,genus
synonym,547,Cloaca Castellani and Chalmers 1919,genus
synonym,547,Cloaca,genus
scientific name,547,Enterobacter,genus
authority,547,Enterobacter Hormaeche and Edwards 1960 (Approved Lists 1980) emend. Brady et al. 2013,genus
authority,547,"not ""Aerobacter"" Beijerinck 1900",genus
authority,547,"not ""Enterobacter"" Rahn 1937",genus
misspelling,561,Escherchia,genus
scientific name,561,Escherichia,genus
authority,561,Escherichia Castellani and Chalmers 1919,genus
authority,562,Bacillus coli Migula 1895,species
authority,562,Bacterium coli commune Escherich 1885,species
authority,562,Bacterium coli (Migula 1895) Lehmann and Neumann 1896,species
synonym,562,Bacillus coli,species
synonym,562,Bacterium coli,species
synonym,562,Bacterium coli commune,species
synonym,562,Enterococcus coli,species
misspelling,562,Escherchia coli,species
scientific name,562,Escherichia coli,species
authority,562,Escherichia coli (Migula 1895) Castellani and Chalmers 1919,species
includes,562,Escherichia sp. MAR,species
equivalent name,562,Escherichia/Shigella coli,species
misspelling,562,Eschericia coli,species
includes,562,bacterium 10a,species
includes,562,bacterium E3,species
synonym,575,Klebsiella planticola,species
authority,575,Klebsiella planticola Bagley et al. 1982,species
synonym,575,Klebsiella trevisanii,species
authority,575,Klebsiella trevisanii Ferragut et al. 1983,species
scientific name,575,Raoultella planticola,species
authority,575,Raoultella planticola (Bagley et al. 1982) Drancourt et al. 2001,species
synonym,577,Klebsiella terrigena,species
authority,577,Klebsiella terrigena Izard et al. 1981,species
scientific name,577,Raoultella terrigena,species
authority,577,Raoultella terrigena (Izard et al. 1981) Drancourt et al. 2001,species
scientific name,579,Kluyvera,genus
authority,579,Kluyvera Farmer et al. 1981,genus
scientific name,620,Shigella,genus
authority,620,Shigella Castellani and Chalmers 1919,genus
authority,622,Bacillus dysenteriae Shiga 1898,species
authority,622,Bacillus dysentericus Shiga 1897,species
authority,622,Bacillus shigae Chester 1901,species
authority,622,Eberthella dysenteriae (Shiga 1898) Bergey et al. 1925,species
authority,622,Shigella shigae (Chester 1901) Wilson and Miles 1946,species
synonym,622,Bacillus dysenteriae,species
synonym,622,Bacillus dysentericus,species
synonym,622,Bacillus shigae,species
synonym,622,Eberthella dysenteriae,species
equivalent name,622,Escherichia/Shigella dysenteriae,species
scientific name,622,Shigella dysenteriae,species
authority,622,Shigella dysenteriae (Shiga 1897) Castellani and Chalmers 1919,species
authority,622,Shigella dysenteriae (Shiga 1898) Castellani and Chalmers 1919,species
synonym,622,Shigella shigae,species
synonym,702,C 27 Group Ferguson and Henderson 1947,genus
synonym,702,Fergusonia Sebald and Vron 1963,genus
synonym,702,C 27 Group,genus
synonym,702,Fergusonia,genus
synonym,702,Pleisomonas,genus
scientific name,702,Plesiomonas,genus
synonym,702,Plesiomonas corrig. Habs and Schubert 1962,genus
authority,703,Aeromonas shigelloides (Bader 1954) Ewing et al. 1961,species
authority,703,Fergusonia shigelloides (Bader 1954) Sebald and Vron 1963,species
authority,703,Pseudomonas shigelloides Bader 1954,species
synonym,703,Aeromonas shigelloides,species
synonym,703,Fergusonia shigelloides,species
synonym,703,Pleisomonas shigelloides,species
scientific name,703,Plesiomonas shigelloides,species
authority,703,Plesiomonas shigelloides corrig. (Bader 1954) Habs and Schubert 1962,species
synonym,703,Pseudomonas shigelloides,species
scientific name,712,Pasteurellaceae,family
synonym,712,Pasteurellaceae Pohl 1981,family
scientific name,724,Haemophilus,genus
synonym,724,Haemophilus Winslow et al. 1917,genus
