name	synonims	translation	id
sugar	simple sugar	Простые сахара	1
fasting		Голодание	2
artichoke		Артишоки	3
protein	high protein diet, protein-rich diet	Белки	4
fish oil		Рыбий жир	5
corn starch	corn starches	Кукурузный крахмал	6
starch	starches, high starch diet	Крахмал	7
lipid	fat, saturated fat, high fat diet, fat diet	Жиры	8
gluten		Глютен	9
poultry		Мясо птицы	10
corn oil		Кукурузное масло	11
red wine		Красное вино	12
wine		Вино	13
fruit		Фрукты	14
fructose	fructan substrate	Фруктоза	15
citrus		Цитрусовые	16
whole grain		Цельнозерновые продукты	17
meat	red meat	Мясо	18
sucrose		Сахароза	19
oat		Овёс	20
konjac		Коньяк	21
bread		Хлеб	22
whey		Молочная сыворотка	25
sausage	fermented sausage, sausages	Сосиски	26
apple		Яблоко	27
cheese	Cheddar cheese, cheeses(from pasteurized milk)	Сыр	28
mayonnaise		Майонез	29
dairy	dairy product, dairy products, milk, casein, bovine milk	Молочные продукты	31
honey		Мёд	32
yogurt		Йогурт	33
olive oil		Оливковое масло	34
blueberry		Черника	35
maltose		Мальтоза	36
berrie		Ягоды	37
vegetable	vegetable- based diet	Овощи	38
vegetarian diet	vegetarian	Вегетарианская диета	39
Vegan		Строгая вегетарианская диета	40
lactose	lactate	Лактоза	41
onion		Лук	42
grapefruit		Грейпфрут	43
endive		Эндивий	44
tomato		Помидоры	45
carrot		Морковь	46
pepper		Красный перец	47
rye flour		Ржаная мука	48
barley		Ячмень	49
almond		Миндаль	50
banana		Бананы	51
garlic		Чеснок	52
breast milk		Грудное молоко	53
wheat		Пшеница	54
bean		Фасоль	55
pea		Бобовые	56
buttermilk		Пахта	57
fucose		Фукоза	58
Black tea		Черный чай	59
animal fat		Животные жиры	60
cocoa	high-cocoa flavanol, high-cocoa flavanol (HCF), HCF	Какао	63
fermented milk products	kefir	Кисломолочный продукты	64
Green tea		Зеленый чай	65
juice		Соки	66
pomegranate		Гранат	67
tapioca		Тапиока	68
wheat germ		Пророщенная пшеница	70
wheat bran		Зерновые отруби	71
flax oil		Льняное масло	72
processed olives	olive	Оливки	74
western diet		Западный тип диеты	75
cereals		Зерновые	76
germinated barley		Пророщенный ячмень	77
soybean	soymilk, miso, soy sauce	Соевые продукты	78
tea		Чай	79
cereal grain		Цельнозерновые	80
rice bran		Рисовые отруби	81
fermented food	fermented fish	Ферментированные продукты	82
fish		Мясо рыбы	83
spice		Пряности	86
oil		Масло	88
egg		Яйца	89
corn		Кукуруза	90
fruit		Фрукты	91
omni-vore diet	omnivore diet	Гастрономическая диета	93
animal protein		Животные белки	94
cholesterol diet		Холестериновая диета	95
animal glycans and proteins	animal glycoproteins and proteoglycans	Углеводы и белки животного происхождения	96
durum wheat		Твердые сорта пшеницы	97
coffee		Кофе	98

