id,name,translation,type
1.0,simple sugar,Простые сахара,synonim
1.0,simple sugars,Простые сахара,synonim
1.0,Simple sugar,Простые сахара,synonim
1.0,Simple sugars,Простые сахара,synonim
1.0,SIMPLE SUGAR,Простые сахара,synonim
1.0,SIMPLE SUGARS,Простые сахара,synonim
4.0,high protein diet,Белки,synonim
4.0,high protein diets,Белки,synonim
4.0,High protein diet,Белки,synonim
4.0,High protein diets,Белки,synonim
4.0,HIGH PROTEIN DIET,Белки,synonim
4.0,HIGH PROTEIN DIETS,Белки,synonim
4.0,protein-rich diet,Белки,synonim
4.0,protein-rich diets,Белки,synonim
4.0,Protein-rich diet,Белки,synonim
4.0,Protein-rich diets,Белки,synonim
4.0,PROTEIN-RICH DIET,Белки,synonim
4.0,PROTEIN-RICH DIETS,Белки,synonim
6.0,corn starches,Кукурузный крахмал,synonim
6.0,corn starchess,Кукурузный крахмал,synonim
6.0,Corn starches,Кукурузный крахмал,synonim
6.0,Corn starchess,Кукурузный крахмал,synonim
6.0,CORN STARCHES,Кукурузный крахмал,synonim
6.0,CORN STARCHESS,Кукурузный крахмал,synonim
7.0,starches,Крахмал,synonim
7.0,starch,Крахмал,synonim
7.0,Starches,Крахмал,synonim
7.0,Starch,Крахмал,synonim
7.0,STARCHES,Крахмал,synonim
7.0,STARCH,Крахмал,synonim
7.0,high starch diet,Крахмал,synonim
7.0,high starch diets,Крахмал,synonim
7.0,High starch diet,Крахмал,synonim
7.0,High starch diets,Крахмал,synonim
7.0,HIGH STARCH DIET,Крахмал,synonim
7.0,HIGH STARCH DIETS,Крахмал,synonim
8.0,fat,Жиры,synonim
8.0,fats,Жиры,synonim
8.0,Fat,Жиры,synonim
8.0,Fats,Жиры,synonim
8.0,FAT,Жиры,synonim
8.0,FATS,Жиры,synonim
8.0,saturated fat,Жиры,synonim
8.0,saturated fats,Жиры,synonim
8.0,Saturated fat,Жиры,synonim
8.0,Saturated fats,Жиры,synonim
8.0,SATURATED FAT,Жиры,synonim
8.0,SATURATED FATS,Жиры,synonim
8.0,high fat diet,Жиры,synonim
8.0,high fat diets,Жиры,synonim
8.0,High fat diet,Жиры,synonim
8.0,High fat diets,Жиры,synonim
8.0,HIGH FAT DIET,Жиры,synonim
8.0,HIGH FAT DIETS,Жиры,synonim
8.0,fat diet,Жиры,synonim
8.0,fat diets,Жиры,synonim
8.0,Fat diet,Жиры,synonim
8.0,Fat diets,Жиры,synonim
8.0,FAT DIET,Жиры,synonim
8.0,FAT DIETS,Жиры,synonim
15.0,fructan substrate,Фруктоза,synonim
15.0,fructan substrates,Фруктоза,synonim
15.0,Fructan substrate,Фруктоза,synonim
15.0,Fructan substrates,Фруктоза,synonim
15.0,FRUCTAN SUBSTRATE,Фруктоза,synonim
15.0,FRUCTAN SUBSTRATES,Фруктоза,synonim
18.0,red meat,Мясо,synonim
