group;word
American_Indian/Alaska_Native_Foods;agutuk
American_Indian/Alaska_Native_Foods;ascidians (tunughnak) (alaska native)
American_Indian/Alaska_Native_Foods;bear
American_Indian/Alaska_Native_Foods;whale
American_Indian/Alaska_Native_Foods;oil
American_Indian/Alaska_Native_Foods;blackberries
American_Indian/Alaska_Native_Foods;fish
American_Indian/Alaska_Native_Foods;blueberries
American_Indian/Alaska_Native_Foods;caribou
American_Indian/Alaska_Native_Foods;stew/soup
American_Indian/Alaska_Native_Foods;chiton
American_Indian/Alaska_Native_Foods;cloudberries
American_Indian/Alaska_Native_Foods;cockles
American_Indian/Alaska_Native_Foods;cranberries
American_Indian/Alaska_Native_Foods;cranberry
American_Indian/Alaska_Native_Foods;fireweed
American_Indian/Alaska_Native_Foods;huckleberries
American_Indian/Alaska_Native_Foods;stew
American_Indian/Alaska_Native_Foods;moose
American_Indian/Alaska_Native_Foods;mashu roots
American_Indian/Alaska_Native_Foods;mouse nuts
American_Indian/Alaska_Native_Foods;octopus (alaska native)
American_Indian/Alaska_Native_Foods;seal
American_Indian/Alaska_Native_Foods;oopah (tunicate)
American_Indian/Alaska_Native_Foods;owl
American_Indian/Alaska_Native_Foods;rhubarb
American_Indian/Alaska_Native_Foods;duck
American_Indian/Alaska_Native_Foods;sea cucumber
American_Indian/Alaska_Native_Foods;soup
American_Indian/Alaska_Native_Foods;sourdock
American_Indian/Alaska_Native_Foods;squirrel
American_Indian/Alaska_Native_Foods;tea
American_Indian/Alaska_Native_Foods;walrus
American_Indian/Alaska_Native_Foods;deer (venison)
American_Indian/Alaska_Native_Foods;willow
American_Indian/Alaska_Native_Foods;mush
American_Indian/Alaska_Native_Foods;cornmeal
American_Indian/Alaska_Native_Foods;melon
American_Indian/Alaska_Native_Foods;chilchen (red berry beverage) (navajo)
American_Indian/Alaska_Native_Foods;corn
American_Indian/Alaska_Native_Foods;squash
American_Indian/Alaska_Native_Foods;bread
American_Indian/Alaska_Native_Foods;mutton
American_Indian/Alaska_Native_Foods;frybread
American_Indian/Alaska_Native_Foods;tortilla
American_Indian/Alaska_Native_Foods;tamales (navajo)
American_Indian/Alaska_Native_Foods;salmonberries
American_Indian/Alaska_Native_Foods;elk
American_Indian/Alaska_Native_Foods;buffalo
American_Indian/Alaska_Native_Foods;chokecherries
American_Indian/Alaska_Native_Foods;steelhead trout
American_Indian/Alaska_Native_Foods;acorn stew (apache)
American_Indian/Alaska_Native_Foods;smelt
