CA-A CANCER JOURNAL FOR CLINICIANS	115.84
NEW ENGLAND JOURNAL OF MEDICINE	55.873
CHEMICAL REVIEWS	46.568
LANCET	45.217
NATURE REVIEWS DRUG DISCOVERY	41.908
NATURE BIOTECHNOLOGY	41.514
NATURE	41.456
Annual Review of Immunology	39.327
NATURE REVIEWS MOLECULAR CELL BIOLOGY	37.806
NATURE REVIEWS CANCER	37.4
NATURE REVIEWS GENETICS	36.978
NATURE MATERIALS	36.503
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	35.289
NATURE REVIEWS IMMUNOLOGY	34.985
Nature Nanotechnology	34.048
SCIENCE	33.611
CHEMICAL SOCIETY REVIEWS	33.383
Annual Review of Astronomy and Astrophysics	33.346
Nature Photonics	32.386
CELL	32.242
NATURE METHODS	32.072
NATURE REVIEWS NEUROSCIENCE	31.427
Annual Review of Biochemistry	30.283
REVIEWS OF MODERN PHYSICS	29.604
NATURE GENETICS	29.352
PROGRESS IN MATERIALS SCIENCE	27.417
NATURE MEDICINE	27.363
PHYSIOLOGICAL REVIEWS	27.324
PROGRESS IN POLYMER SCIENCE	26.932
Nature Chemistry	25.325
LANCET ONCOLOGY	24.69
NATURE REVIEWS MICROBIOLOGY	23.574
CANCER CELL	23.523
Annual Review of Plant Biology	23.3
LANCET INFECTIOUS DISEASES	22.433
ACCOUNTS OF CHEMICAL RESEARCH	22.323
Cell Stem Cell	22.268
TRENDS IN COGNITIVE SCIENCES	21.965
TRENDS IN COGNITIVE SCIENCES	21.965
LANCET NEUROLOGY	21.896
Annual Review of Psychology	21.81
Annual Review of Psychology	21.81
IMMUNITY	21.561
ENDOCRINE REVIEWS	21.059
ADVANCES IN PHYSICS	20.833
BEHAVIORAL AND BRAIN SCIENCES	20.771
BEHAVIORAL AND BRAIN SCIENCES	20.771
Energy & Environmental Science	20.523
Nature Physics	20.147
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	20.033
NATURE IMMUNOLOGY	20.004
NATURE CELL BIOLOGY	19.679
Cancer Discovery	19.453
Annual Review of Neuroscience	19.32
Living Reviews in Relativity	19.25
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	19.22
Annual Review of Pathology-Mechanisms of Disease	18.75
Annual Review of Physiology	18.51
JOURNAL OF CLINICAL ONCOLOGY	18.428
Annual Review of Pharmacology and Toxicology	18.365
ANNALS OF INTERNAL MEDICINE	17.81
ASTRONOMY AND ASTROPHYSICS REVIEW	17.737
Living Reviews in Solar Physics	17.636
Cell Metabolism	17.565
ADVANCED MATERIALS	17.493
BMJ-British Medical Journal	17.445
CLINICAL MICROBIOLOGY REVIEWS	17.406
ARCHIVES OF INTERNAL MEDICINE	17.333
PHARMACOLOGICAL REVIEWS	17.099
ALDRICHIMICA ACTA	17.083
REPORTS ON PROGRESS IN PHYSICS	17.062
Advances in Anatomy Embryology and Cell Biology	17
Annual Review of Physical Chemistry	16.842
Psychological Science in the Public Interest	16.833
GASTROENTEROLOGY	16.716
Annual Review of Cell and Developmental Biology	16.66
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	16.503
TRENDS IN ECOLOGY & EVOLUTION	16.196
Advanced Energy Materials	16.146
NATURE NEUROSCIENCE	16.095
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	16.091
Science Translational Medicine	15.843
EUROPEAN HEART JOURNAL SUPPLEMENTS	15.8
Annual Review of Genetics	15.724
MATERIALS SCIENCE & ENGINEERING R-REPORTS	15.5
Annual Review of Biophysics	15.436
Nature Reviews Neurology	15.358
EUROPEAN HEART JOURNAL	15.203
NEURON	15.054
ADVANCED DRUG DELIVERY REVIEWS	15.038
Nano Today	15
REVIEWS OF GEOPHYSICS	14.8
Annual Review of Condensed Matter Physics	14.786
SURFACE SCIENCE REPORTS	14.765
PSYCHOLOGICAL BULLETIN	14.756
PSYCHOLOGICAL BULLETIN	14.756
GUT	14.66
GENOME RESEARCH	14.63
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	14.611
Light-Science & Applications	14.603
Nature Climate Change	14.547
Nature Climate Change	14.547
MOLECULAR PSYCHIATRY	14.496
ARCHIVES OF GENERAL PSYCHIATRY	14.48
ARCHIVES OF GENERAL PSYCHIATRY	14.48
CIRCULATION	14.43
PLOS MEDICINE	14.429
SYSTEMATIC BIOLOGY	14.387
Annual Review of Marine Science	14.356
World Psychiatry	14.225
World Psychiatry	14.225
Annual Review of Biomedical Engineering	14.211
Nature Reviews Clinical Oncology	14.18
Materials Today	14.107
MOLECULAR CELL	14.018
EUROPEAN UROLOGY	13.938
Annual Review of Entomology	13.731
NANO LETTERS	13.592
TRENDS IN NEUROSCIENCES	13.555
NATURE STRUCTURAL & MOLECULAR BIOLOGY	13.309
Nature Reviews Endocrinology	13.281
STUDIES IN MYCOLOGY	13.25
FEMS MICROBIOLOGY REVIEWS	13.244
JOURNAL OF CLINICAL INVESTIGATION	13.215
JAMA Internal Medicine	13.116
Nature Chemical Biology	12.996
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	12.996
TRENDS IN PLANT SCIENCE	12.929
Annual Review of Medicine	12.928
ACS Nano	12.881
Annual Review of Clinical Psychology	12.674
