Case-Control Study of Vitamin D, dickkopf homolog 1 (DKK1) Gene Methylation, VDR Gene Polymorphism and the Risk of Colon Adenoma in African Americans	plos one	3.234
Bacteria Mediate Oviposition by the Black Soldier Fly, Hermetia illucens (L.), (Diptera: Stratiomyidae)	scientific reports	5.578
Use of Zebrafish to Probe the Divergent Virulence Potentials and Toxin Requirements of Extraintestinal Pathogenic Escherichia coli	plos pathogens	7.562
Oral Microbiota and Risk for Esophageal Squamous Cell Carcinoma in a High-Risk Area of China	plos one	3.234
Antibiotic Treatment Expands the Resistance Reservoir and Ecological Network of the Phage Metagenome	nature	41.456
Lower airway colonization and inflammatory response in COPD: a focus on Haemophilus influenzae	international journal of chronic obstructive pulmonary disease	3.141
Biogenic Amines in Raw and Processed Seafood	frontiers in microbiology	3.989
Functional analysis of a zebrafish myd88 mutant identifies key transcriptional components of the innate immune system	disease models & mechanisms	4.973
Obesity, Inflammation and Diet	pediatric gastroenterology, hepatology & nutrition	NO IMPACT
Carboxylic acids in the hindgut of rats fed highly soluble inulin and Bifidobacterium lactis (Bb-12), Lactobacillus salivarius (UCC500) or Lactobacillus rhamnosus (GG)	scandinavian journal of food & nutrition	NO IMPACT
Possible role of Escherichia coli in propagation and perpetuation of chronic inflammation in ulcerative colitis	bmc gastroenterology	2.365
Lactobacillus helveticus: importance in food and health	frontiers in microbiology	3.989
Managing inflammatory bowel disease in adolescent patients	adolescent health, medicine and therapeutics	NO IMPACT
Alcohol and HIV Effects on the Immune System	alcohol research : current reviews	NO IMPACT
Identification of novel antimicrobial resistance genes from microbiota on retail spinach	bmc microbiology	2.729
The impact of Toll-like-receptor-9 on intestinal microbiota composition and extra-intestinal sequelae in experimental Toxoplasma gondii induced ileitis	gut pathogens	2.281
Quick fix or long-term cure? Pros and cons of bariatric surgery	f1000 medicine reports	NO IMPACT
Iron and Malaria Interactions: Research Needs From Basic Science to Global Policy12	advances in nutrition	4.709
Host-Specific and pH-Dependent Microbiomes of Copepods in an Extensive Rearing System	plos one	3.234
Retroviral Vectors for Analysis of Viral Mutagenesis and Recombination	viruses	NO IMPACT
Emerging Infectious Diseases in 2012: 20 Years after the Institute of Medicine Report	mbio	6.786
Estimating the Contribution of Acute Gastroenteritis to the Overall Prevalence of Irritable Bowel Syndrome	journal of neurogastroenterology and motility	2.296
Celiac disease in type-I diabetes mellitus: coexisting phenomenon	journal of research in medical sciences : the official journal of isfahan university of medical sciences	NO IMPACT
A Positive Association between T. gondii Seropositivity and Obesity	frontiers in public health	NO IMPACT
MetaCluster 5.0: a two-round binning approach for metagenomic data for low-abundance species in a noisy sample	bioinformatics	4.981
The Gut's Little Brain in Control of Intestinal Immunity	isrn gastroenterology	NO IMPACT
The Viral Mimetic Polyinosinic:Polycytidylic Acid Alters the Growth Characteristics of Small Intestinal and Colonic Crypt Cultures	plos one	3.234
Expression of Toll-like receptors 2 and 9 in cells of dog jejunum and colon naturally infected with Leishmania infantum	bmc immunology	2.481
Obesity genetics in mouse and human: back and forth, and back again	peerj	2.112
Effects of Dietary Cooked Navy Bean on the Fecal Microbiome of Healthy Companion Dogs	plos one	3.234
The Repertoire of Archaea Cultivated from Severe Periodontitis	plos one	3.234
Fecal microbiota transplantation restores dysbiosis in patients with methicillin resistant Staphylococcus aureus enterocolitis	bmc infectious diseases	2.613
Trypanosoma cruzi TcSMUG L-surface Mucins Promote Development and Infectivity in the Triatomine Vector Rhodnius prolixus	plos neglected tropical diseases	4.446
Coregulation of host-adapted metabolism and virulence by pathogenic yersiniae	frontiers in cellular and infection microbiology	3.719
A Basal Chordate Model for Studies of Gut Microbial Immune Interactions	frontiers in immunology	NO IMPACT
